limit+AC0-deviation,C8,C9,C10,C11,C12,C13
,0.074,0.085,0.1,0.12,0.16,0.2
3,0.06,0.06,0.06,0.06,0.06,0.06
3,0.088,0.1,0.118,0.145,0.19,0.25
6,0.07,0.07,0.07,0.07,0.07,0.07
6,0.102,0.116,0.138,0.17,0.23,0.3
10,0.08,0.08,0.08,0.08,0.08,0.08
10,0.122,0.138,0.165,0.205,0.275,0.365
18,0.095,0.095,0.095,0.095,0.095,0.095
18,0.143,0.162,0.194,0.24,0.32,0.44
30,0.11,0.11,0.11,0.11,0.11,0.11
30,0.159,0.182,0.22,0.28,0.37,0.51
40,0.12,0.12,0.12,0.12,0.12,0.12
40,0.169,0.192,0.23,0.29,0.38,0.52
50,0.13,0.13,0.13,0.13,0.13,0.13
50,0.186,0.214,0.26,0.33,0.44,0.6
65,0.14,0.14,0.14,0.14,0.14,0.14
65,0.196,0.224,0.27,0.34,0.45,0.61
80,0.15,0.15,0.15,0.15,0.15,0.15
80,0.224,0.257,0.31,0.39,0.52,0.71
100,0.17,0.17,0.17,0.17,0.17,0.17
100,0.234,0.267,0.32,0.4,0.53,0.72
120,0.18,0.18,0.18,0.18,0.18,0.18
120,0.263,0.3,0.36,0.45,0.6,0.83
140,0.2,0.2,0.2,0.2,0.2,0.2
140,0.273,0.31,0.37,0.46,0.61,0.84
160,0.21,0.21,0.21,0.21,0.21,0.21
160,0.293,0.33,0.39,0.48,0.63,0.86
180,0.23,0.23,0.23,0.23,0.23,0.23
180,0.312,0.355,0.425,0.53,0.7,0.96
200,0.24,0.24,0.24,0.24,0.24,0.24
200,0.332,0.375,0.445,0.55,0.72,0.98
225,0.26,0.26,0.26,0.26,0.26,0.26
225,0.352,0.395,0.465,0.57,0.74,1
250,0.28,0.28,0.28,0.28,0.28,0.28
250,0.381,0.43,0.51,0.62,0.82,0.11
280,0.3,0.3,0.3,0.3,0.3,0.3
280,0.411,0.46,0.54,0.65,0.85,0.14
315,0.33,0.33,0.33,0.33,0.33,0.33
315,0.449,0.5,0.59,0.72,0.93,0.25
355,0.36,0.36,0.36,0.36,0.36,0.36
355,0.489,0.54,0.63,0.76,0.97,0.29
400,0.4,0.4,0.4,0.4,0.4,0.4
400,0.537,0.595,0.69,0.84,0.07,0.41
450,0.44,0.44,0.44,0.44,0.44,0.44
450,0.577,0.635,0.73,0.88,0.11,0.45
500,0.48,0.48,0.48,0.48,0.48,0.48
