limit+AC0-deviation,D6,D7,D8,D9,D10,D11,D12,D13
,0.026,0.03,0.034,0.045,0.06,0.08,0.12,0.16
3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
3,0.038,0.042,0.048,0.06,0.078,0.105,0.15,0.21
6,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
6,0.049,0.055,0.062,0.076,0.098,0.13,0.19,0.26
10,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
10,0.061,0.068,0.077,0.093,0.12,0.16,0.23,0.32
18,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
18,0.078,0.086,0.098,0.117,0.149,0.195,0.275,0.395
30,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
30,0.096,0.105,0.119,0.142,0.18,0.24,0.33,0.47
50,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
50,0.119,0.13,0.146,0.174,0.22,0.29,0.4,0.56
80,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
80,0.142,0.155,0.174,0.207,0.26,0.34,0.47,0.66
120,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
120,0.17,0.185,0.208,0.245,0.305,0.395,0.545,0.775
180,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145
180,0.199,0.216,0.242,0.285,0.355,0.46,0.63,0.89
250,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
250,0.222,0.242,0.271,0.32,0.4,0.51,0.71,1
315,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
315,0.246,0.267,0.299,0.35,0.44,0.57,0.78,0.1
400,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
400,0.27,0.293,0.327,0.385,0.48,0.63,0.86,0.2
500,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
500,0.304,0.33,0.37,0.435,0.54,0.7,0.96,0.36
630,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
630,0.34,0.37,0.415,0.49,0.61,0.79,0.09,0.54
800,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
800,0.376,0.41,0.46,0.55,0.68,0.88,0.22,0.72
1000,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
1000,0.416,0.455,0.515,0.61,0.77,0.01,0.4,2
1250,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1250,0.468,0.515,0.585,0.7,0.89,0.17,0.64,0.34
1600,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
1600,0.522,0.58,0.66,0.8,0.03,0.35,0.93,0.73
2000,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
2000,0.59,0.655,0.76,0.92,0.18,0.58,0.23,0.28
2500,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
2500,0.655,0.73,0.85,0.06,0.38,0.87,0.62,0.82
3150,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
