limit+AC0-deviation,F3,F4,F5,F6,F7,F8,F9,F10
,0.008,0.009,0.01,0.012,0.016,0.02,0.031,0.046
3,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
3,0.0125,0.014,0.015,0.018,0.022,0.028,0.04,0.058
6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6,0.0155,0.017,0.019,0.022,0.028,0.035,0.049,0.071
10,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
10,0.019,0.021,0.024,0.027,0.034,0.043,0.059,0.086
18,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
18,0.024,0.026,0.029,0.033,0.041,0.053,0.072,0.104
30,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
30,0.029,0.032,0.036,0.041,0.05,0.064,0.087,0.125
50,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
50,,,0.043,0.049,0.06,0.076,0.104,
80,,,0.03,0.03,0.03,0.03,0.03,
80,,,0.051,0.058,0.071,0.09,0.123,
120,,,0.036,0.036,0.036,0.036,0.036,
120,,,0.061,0.068,0.083,0.106,0.143,
180,,,0.043,0.043,0.043,0.043,0.043,
180,,,0.07,0.079,0.096,0.122,0.165,
250,,,0.05,0.05,0.05,0.05,0.05,
250,,,0.079,0.088,0.108,0.137,0.186,
315,,,0.056,0.056,0.056,0.056,0.056,
315,,,0.087,0.098,0.119,0.151,0.202,
400,,,0.062,0.062,0.062,0.062,0.062,
400,,,0.095,0.108,0.131,0.165,0.223,
500,,,0.068,0.068,0.068,0.068,0.068,
500,,,,0.12,0.146,0.186,0.251,
630,,,,0.076,0.076,0.076,0.076,
630,,,,0.13,0.16,0.205,0.28,
800,,,,0.08,0.08,0.08,0.08,
800,,,,0.142,0.176,0.226,0.316,
1000,,,,0.086,0.086,0.086,0.086,
1000,,,,0.164,0.203,0.263,0.358,
1250,,,,0.098,0.098,0.098,0.098,
1250,,,,0.188,0.235,0.305,0.42,
1600,,,,0.11,0.11,0.11,0.11,
1600,,,,0.212,0.27,0.35,0.49,
2000,,,,0.12,0.12,0.12,0.12,
2000,,,,0.24,0.305,0.41,0.57,
2500,,,,0.13,0.13,0.13,0.13,
2500,,,,0.28,0.355,0.475,0.685,
3150,,,,0.145,0.145,0.145,0.145,
