Limit+AC0-deviation,J6,J7,J8
,0.002,0.004,0.006
3,+AC0-0.004,+AC0-0.006,+AC0-0.008
3,0.005,0.006,0.01
6,+AC0-0.003,+AC0-0.006,+AC0-0.008
6,0.005,0.008,0.012
10,+AC0-0.004,+AC0-0.007,+AC0-0.01
10,0.006,0.01,0.015
18,+AC0-0.005,+AC0-0.008,+AC0-0.012
18,0.008,0.012,0.02
30,+AC0-0.005,+AC0-0.009,+AC0-0.013
30,0.01,0.014,0.024
50,+AC0-0.006,+AC0-0.011,+AC0-0.015
50,0.013,0.018,0.028
80,+AC0-0.006,+AC0-0.012,+AC0-0.018
80,0.016,0.022,0.034
120,+AC0-0.006,+AC0-0.013,+AC0-0.02
120,0.018,0.026,0.041
180,+AC0-0.007,+AC0-0.014,+AC0-0.022
180,0.022,0.03,0.047
250,+AC0-0.007,+AC0-0.016,+AC0-0.025
250,0.025,0.036,0.055
315,+AC0-0.007,+AC0-0.016,+AC0-0.026
315,0.029,0.039,0.06
400,+AC0-0.007,+AC0-0.018,+AC0-0.029
400,0.033,0.043,0.066
500,+AC0-0.007,+AC0-0.02,+AC0-0.031
