,JS1,JS2,JS3,JS4,JS5,JS6,JS7,JS8,JS9,JS10,JS11,JS12,JS13,JS14,JS15,JS16,JS17,JS18
,0.0004,0.0006,0.001,0.0015,0.002,0.003,0.005,0.007,0.0125,0.02,0.03,0.05,0.07,0.125,0.2,0.3,,
3,+AC0-0.0004,+AC0-0.0006,+AC0-0.001,+AC0-0.0015,+AC0-0.002,+AC0-0.003,+AC0-0.005,+AC0-0.007,+AC0-0.0125,+AC0-0.02,+AC0-0.03,+AC0-0.05,+AC0-0.07,+AC0-0.125,+AC0-0.2,+AC0-0.3,,
3,0.0005,0.00075,0.00125,0.002,0.0025,0.004,0.006,0.009,0.015,0.024,0.0375,0.06,0.09,0.15,0.24,0.375,0.6,0.9
6,+AC0-0.0005,+AC0-0.00075,+AC0-0.00125,+AC0-0.002,+AC0-0.0025,+AC0-0.004,+AC0-0.006,+AC0-0.009,+AC0-0.015,+AC0-0.024,+AC0-0.0375,+AC0-0.06,+AC0-0.09,+AC0-0.15,+AC0-0.24,+AC0-0.375,+AC0-0.6,+AC0-0.9
6,0.0005,0.00075,0.00125,0.002,0.003,0.0045,0.0075,0.011,0.018,0.029,0.045,0.075,0.11,0.18,0.29,0.45,0.75,0.1
10,+AC0-0.0005,+AC0-0.00075,+AC0-0.00125,+AC0-0.002,+AC0-0.003,+AC0-0.0045,+AC0-0.0075,+AC0-0.011,+AC0-0.018,+AC0-0.029,+AC0-0.045,+AC0-0.075,+AC0-0.11,+AC0-0.18,+AC0-0.29,+AC0-0.45,+AC0-0.75,+AC0-1.1
10,0.0006,0.001,0.0015,0.0025,0.004,0.0055,0.009,0.0135,0.0215,0.035,0.055,0.09,0.135,0.215,0.35,0.55,0.9,0.35
18,+AC0-0.0006,+AC0-0.001,+AC0-0.0015,+AC0-0.0025,+AC0-0.004,+AC0-0.0055,+AC0-0.009,+AC0-0.0135,+AC0-0.0215,+AC0-0.035,+AC0-0.055,+AC0-0.09,+AC0-0.135,+AC0-0.215,+AC0-0.35,+AC0-0.55,+AC0-0.9,+AC0-1.35
18,0.00075,0.00125,0.002,0.003,0.0045,0.0065,0.0105,0.0165,0.026,0.042,0.065,0.105,0.165,0.26,0.42,0.65,0.05,0.65
30,+AC0-0.00075,+AC0-0.00125,+AC0-0.002,+AC0-0.003,+AC0-0.0045,+AC0-0.0065,+AC0-0.0105,+AC0-0.0165,+AC0-0.026,+AC0-0.042,+AC0-0.065,+AC0-0.105,+AC0-0.165,+AC0-0.26,+AC0-0.42,+AC0-0.65,+AC0-1.05,+AC0-1.65
30,0.00075,0.00125,0.002,0.0035,0.0055,0.008,0.0125,0.0195,0.031,0.05,0.08,0.125,0.195,0.31,0.5,0.8,0.25,0.95
50,+AC0-0.00075,+AC0-0.00125,+AC0-0.002,+AC0-0.0035,+AC0-0.0055,+AC0-0.008,+AC0-0.0125,+AC0-0.0195,+AC0-0.031,+AC0-0.05,+AC0-0.08,+AC0-0.125,+AC0-0.195,+AC0-0.31,+AC0-0.5,+AC0-0.8,+AC0-1.25,+AC0-1.95
50,0.001,0.0015,0.0025,0.004,0.0065,0.0095,0.015,0.023,0.037,0.06,0.095,0.15,0.23,0.37,0.6,0.95,0.5,0.3
80,+AC0-0.001,+AC0-0.0015,+AC0-0.0025,+AC0-0.004,+AC0-0.0065,+AC0-0.0095,+AC0-0.015,+AC0-0.023,+AC0-0.037,+AC0-0.06,+AC0-0.095,+AC0-0.15,+AC0-0.23,+AC0-0.37,+AC0-0.6,+AC0-0.95,+AC0-1.5,+AC0-2.3
80,0.00125,0.002,0.003,0.005,0.0075,0.011,0.0175,0.027,0.0435,0.07,0.11,0.175,0.27,0.435,0.7,0.1,0.75,0.7
120,+AC0-0.00125,+AC0-0.002,+AC0-0.003,+AC0-0.005,+AC0-0.0075,+AC0-0.011,+AC0-0.0175,+AC0-0.027,+AC0-0.0435,+AC0-0.07,+AC0-0.11,+AC0-0.175,+AC0-0.27,+AC0-0.435,+AC0-0.7,+AC0-1.1,+AC0-1.75,+AC0-2.7
120,0.00175,0.0025,0.004,0.006,0.009,0.0125,0.02,0.0315,0.05,0.08,0.125,0.2,0.315,0.5,0.8,0.25,2,0.15
180,+AC0-0.00175,+AC0-0.0025,+AC0-0.004,+AC0-0.006,+AC0-0.009,+AC0-0.0125,+AC0-0.02,+AC0-0.0315,+AC0-0.05,+AC0-0.08,+AC0-0.125,+AC0-0.2,+AC0-0.315,+AC0-0.5,+AC0-0.8,+AC0-1.25,+AC0-2,+AC0-3.15
180,0.00225,0.0035,0.005,0.007,0.01,0.0145,0.023,0.036,0.0575,0.0925,0.145,0.23,0.36,0.575,0.925,0.45,0.3,0.6
250,+AC0-0.00225,+AC0-0.0035,+AC0-0.005,+AC0-0.007,+AC0-0.01,+AC0-0.0145,+AC0-0.023,+AC0-0.036,+AC0-0.0575,+AC0-0.0925,+AC0-0.145,+AC0-0.23,+AC0-0.36,+AC0-0.575,+AC0-0.925,+AC0-1.45,+AC0-2.3,+AC0-3.6
250,0.003,0.004,0.006,0.008,0.0115,0.016,0.026,0.0405,0.065,0.105,0.16,0.26,0.405,0.65,0.05,0.6,0.6,0.05
315,+AC0-0.003,+AC0-0.004,+AC0-0.006,+AC0-0.008,+AC0-0.0115,+AC0-0.016,+AC0-0.026,+AC0-0.0405,+AC0-0.065,+AC0-0.105,+AC0-0.16,+AC0-0.26,+AC0-0.405,+AC0-0.65,+AC0-1.05,+AC0-1.6,+AC0-2.6,+AC0-4.05
315,0.0035,0.0045,0.0065,0.009,0.0125,0.018,0.0285,0.0445,0.07,0.115,0.18,0.285,0.445,0.7,0.15,0.8,0.85,0.45
400,+AC0-0.0035,+AC0-0.0045,+AC0-0.0065,+AC0-0.009,+AC0-0.0125,+AC0-0.018,+AC0-0.0285,+AC0-0.0445,+AC0-0.07,+AC0-0.115,+AC0-0.18,+AC0-0.285,+AC0-0.445,+AC0-0.7,+AC0-1.15,+AC0-1.8,+AC0-2.85,+AC0-4.45
400,0.004,0.005,0.0075,0.01,0.0135,0.02,0.0315,0.0485,0.0775,0.125,0.2,0.315,0.485,0.775,0.25,2,0.15,0.85
500,+AC0-0.004,+AC0-0.005,+AC0-0.0075,+AC0-0.01,+AC0-0.0135,+AC0-0.02,+AC0-0.0315,+AC0-0.0485,+AC0-0.0775,+AC0-0.125,+AC0-0.2,+AC0-0.315,+AC0-0.485,+AC0-0.775,+AC0-1.25,+AC0-2,+AC0-3.15,+AC0-4.85
500,0.0045,0.0055,0.008,0.011,0.016,0.022,0.035,0.055,0.0875,0.14,0.22,0.35,0.55,0.875,0.4,0.2,0.5,0.5
630,+AC0-0.0045,+AC0-0.0055,+AC0-0.008,+AC0-0.011,+AC0-0.016,+AC0-0.022,+AC0-0.035,+AC0-0.055,+AC0-0.0875,+AC0-0.14,+AC0-0.22,+AC0-0.35,+AC0-0.55,+AC0-0.875,+AC0-1.4,+AC0-2.2,+AC0-3.5,+AC0-5.5
630,0.005,0.0065,0.009,0.0125,0.018,0.025,0.04,0.0625,0.1,0.16,0.25,0.4,0.625,1,0.6,0.5,4,0.25
