,K3,K4,K5,K6,K7,K8,K9,K10
,0,0,0,0,0,0,0,0
3,+AC0-0.002,+AC0-0.003,+AC0-0.004,+AC0-0.006,+AC0-0.01,+AC0-0.014,+AC0-0.025,+AC0-0.04
3,0,0.0005,0,0.002,0.003,0.005,,
6,+AC0-0.0025,+AC0-0.0035,+AC0-0.005,+AC0-0.006,+AC0-0.009,+AC0-0.013,,
6,0,0.0005,0.001,0.002,0.005,0.006,,
10,+AC0-0.0025,+AC0-0.0035,+AC0-0.005,+AC0-0.007,+AC0-0.01,+AC0-0.016,,
10,0,0.001,0.002,0.002,0.006,0.008,,
18,+AC0-0.003,+AC0-0.004,+AC0-0.006,+AC0-0.009,+AC0-0.012,+AC0-0.019,,
18,+AC0-0.0005,0,0.001,0.002,0.006,0.01,,
30,+AC0-0.0045,+AC0-0.006,+AC0-0.008,+AC0-0.011,+AC0-0.015,+AC0-0.023,,
30,+AC0-0.0005,0.001,0.002,0.003,0.007,0.012,,
50,+AC0-0.0045,+AC0-0.006,+AC0-0.009,+AC0-0.013,+AC0-0.018,+AC0-0.027,,
50,,,0.003,0.004,0.009,0.014,,
80,,,+AC0-0.01,+AC0-0.015,+AC0-0.021,+AC0-0.032,,
80,,,0.002,0.004,0.01,0.016,,
120,,,+AC0-0.013,+AC0-0.018,+AC0-0.025,+AC0-0.038,,
120,,,0.003,0.004,0.012,0.02,,
180,,,+AC0-0.015,+AC0-0.021,+AC0-0.028,+AC0-0.043,,
180,,,0.002,0.005,0.013,0.022,,
250,,,+AC0-0.018,+AC0-0.024,+AC0-0.033,+AC0-0.05,,
250,,,0.003,0.005,0.016,0.025,,
315,,,+AC0-0.02,+AC0-0.027,+AC0-0.036,+AC0-0.056,,
315,,,0.003,0.007,0.017,0.028,,
400,,,+AC0-0.022,+AC0-0.029,+AC0-0.04,+AC0-0.061,,
400,,,0.002,0.008,0.018,0.029,,
500,,,+AC0-0.025,+AC0-0.032,+AC0-0.045,+AC0-0.068,,
500,,,,0,0,0,,
630,,,,+AC0-0.044,+AC0-0.07,+AC0-0.11,,
630,,,,0,0,0,,
800,,,,+AC0-0.05,+AC0-0.08,+AC0-0.125,,
800,,,,0,0,0,,
1000,,,,+AC0-0.056,+AC0-0.09,+AC0-0.14,,
1000,,,,0,0,0,,
1250,,,,+AC0-0.066,+AC0-0.105,+AC0-0.165,,
1250,,,,0,0,0,,
1600,,,,+AC0-0.078,+AC0-0.125,+AC0-0.195,,
1600,,,,0,0,0,,
2000,,,,+AC0-0.092,+AC0-0.15,+AC0-0.23,,
2000,,,,0,0,0,,
2500,,,,+AC0-0.11,+AC0-0.175,+AC0-0.28,,
2500,,,,0,0,0,,
3150,,,,+AC0-0.135,+AC0-0.21,+AC0-0.33,,
