,R3,R4,R5,R6,R7,R8,R9,R10
,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01
3,+AC0-0.012,+AC0-0.013,+AC0-0.014,+AC0-0.016,+AC0-0.02,+AC0-0.024,+AC0-0.035,+AC0-0.05
3,+AC0-0.014,+AC0-0.0135,+AC0-0.014,+AC0-0.012,+AC0-0.011,+AC0-0.015,+AC0-0.015,+AC0-0.015
6,+AC0-0.0165,+AC0-0.0175,+AC0-0.019,+AC0-0.02,+AC0-0.023,+AC0-0.033,+AC0-0.045,+AC0-0.063
6,+AC0-0.018,+AC0-0.0175,+AC0-0.017,+AC0-0.016,+AC0-0.013,+AC0-0.019,+AC0-0.019,+AC0-0.019
10,+AC0-0.0205,+AC0-0.0215,+AC0-0.023,+AC0-0.025,+AC0-0.028,+AC0-0.041,+AC0-0.055,+AC0-0.077
10,+AC0-0.022,+AC0-0.021,+AC0-0.02,+AC0-0.02,+AC0-0.016,+AC0-0.023,+AC0-0.023,+AC0-0.023
18,+AC0-0.025,+AC0-0.026,+AC0-0.028,+AC0-0.031,+AC0-0.034,+AC0-0.05,+AC0-0.066,+AC0-0.093
18,+AC0-0.0265,+AC0-0.026,+AC0-0.025,+AC0-0.024,+AC0-0.02,+AC0-0.028,+AC0-0.028,+AC0-0.028
30,+AC0-0.0305,+AC0-0.032,+AC0-0.034,+AC0-0.037,+AC0-0.041,+AC0-0.061,+AC0-0.08,+AC0-0.112
30,+AC0-0.0325,+AC0-0.031,+AC0-0.03,+AC0-0.029,+AC0-0.025,+AC0-0.034,+AC0-0.034,+AC0-0.034
50,+AC0-0.0365,+AC0-0.038,+AC0-0.041,+AC0-0.045,+AC0-0.05,+AC0-0.073,+AC0-0.096,+AC0-0.134
50,,,+AC0-0.036,+AC0-0.035,+AC0-0.03,+AC0-0.041,,
65,,,+AC0-0.049,+AC0-0.054,+AC0-0.06,+AC0-0.087,,
65,,,+AC0-0.038,+AC0-0.037,+AC0-0.032,+AC0-0.043,,
80,,,+AC0-0.051,+AC0-0.056,+AC0-0.062,+AC0-0.089,,
80,,,+AC0-0.046,+AC0-0.044,+AC0-0.038,+AC0-0.051,,
100,,,+AC0-0.061,+AC0-0.066,+AC0-0.073,+AC0-0.105,,
100,,,+AC0-0.049,+AC0-0.047,+AC0-0.041,+AC0-0.054,,
120,,,+AC0-0.064,+AC0-0.069,+AC0-0.076,+AC0-0.108,,
120,,,+AC0-0.057,+AC0-0.056,+AC0-0.048,+AC0-0.063,,
140,,,+AC0-0.075,+AC0-0.081,+AC0-0.088,+AC0-0.126,,
140,,,+AC0-0.059,+AC0-0.058,+AC0-0.05,+AC0-0.065,,
160,,,+AC0-0.077,+AC0-0.083,+AC0-0.09,+AC0-0.128,,
160,,,+AC0-0.062,+AC0-0.061,+AC0-0.053,+AC0-0.068,,
180,,,+AC0-0.08,+AC0-0.086,+AC0-0.093,+AC0-0.131,,
180,,,+AC0-0.071,+AC0-0.068,+AC0-0.06,+AC0-0.077,,
200,,,+AC0-0.091,+AC0-0.097,+AC0-0.106,+AC0-0.149,,
200,,,+AC0-0.074,+AC0-0.071,+AC0-0.063,+AC0-0.08,,
225,,,+AC0-0.094,+AC0-0.1,+AC0-0.109,+AC0-0.152,,
225,,,+AC0-0.078,+AC0-0.075,+AC0-0.067,+AC0-0.084,,
250,,,+AC0-0.098,+AC0-0.104,+AC0-0.113,+AC0-0.156,,
250,,,+AC0-0.087,+AC0-0.085,+AC0-0.074,+AC0-0.094,,
280,,,+AC0-0.11,+AC0-0.117,+AC0-0.126,+AC0-0.175,,
280,,,+AC0-0.091,+AC0-0.089,+AC0-0.078,+AC0-0.098,,
315,,,+AC0-0.114,+AC0-0.121,+AC0-0.13,+AC0-0.179,,
315,,,+AC0-0.101,+AC0-0.097,+AC0-0.087,+AC0-0.108,,
355,,,+AC0-0.126,+AC0-0.133,+AC0-0.144,+AC0-0.197,,
355,,,+AC0-0.107,+AC0-0.103,+AC0-0.093,+AC0-0.114,,
400,,,+AC0-0.132,+AC0-0.139,+AC0-0.15,+AC0-0.203,,
