,S3,S4,S5,S6,S7,S8,S9,S10
,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014
3,+AC0-0.016,+AC0-0.017,+AC0-0.018,+AC0-0.02,+AC0-0.024,+AC0-0.028,+AC0-0.039,+AC0-0.054
3,+AC0-0.018,+AC0-0.0175,+AC0-0.018,+AC0-0.016,+AC0-0.015,+AC0-0.019,+AC0-0.019,+AC0-0.019
6,+AC0-0.0205,+AC0-0.0215,+AC0-0.023,+AC0-0.024,+AC0-0.027,+AC0-0.037,+AC0-0.049,+AC0-0.067
6,+AC0-0.022,+AC0-0.0215,+AC0-0.021,+AC0-0.02,+AC0-0.017,+AC0-0.023,+AC0-0.023,+AC0-0.023
10,+AC0-0.0245,+AC0-0.0255,+AC0-0.027,+AC0-0.029,+AC0-0.032,+AC0-0.045,+AC0-0.059,+AC0-0.081
10,+AC0-0.027,+AC0-0.026,+AC0-0.025,+AC0-0.025,+AC0-0.021,+AC0-0.028,+AC0-0.028,+AC0-0.028
18,+AC0-0.03,+AC0-0.031,+AC0-0.033,+AC0-0.036,+AC0-0.039,+AC0-0.055,+AC0-0.071,+AC0-0.098
18,+AC0-0.0335,+AC0-0.033,+AC0-0.032,+AC0-0.031,+AC0-0.027,+AC0-0.035,+AC0-0.035,+AC0-0.035
30,+AC0-0.0375,+AC0-0.039,+AC0-0.041,+AC0-0.044,+AC0-0.048,+AC0-0.068,+AC0-0.087,+AC0-0.119
30,+AC0-0.0415,+AC0-0.04,+AC0-0.039,+AC0-0.038,+AC0-0.034,+AC0-0.043,+AC0-0.043,+AC0-0.043
50,+AC0-0.0455,+AC0-0.047,+AC0-0.05,+AC0-0.054,+AC0-0.059,+AC0-0.082,+AC0-0.105,+AC0-0.143
50,,,+AC0-0.048,+AC0-0.047,+AC0-0.042,+AC0-0.053,+AC0-0.053,
65,,,+AC0-0.061,+AC0-0.066,+AC0-0.072,+AC0-0.099,+AC0-0.127,
65,,,+AC0-0.054,+AC0-0.053,+AC0-0.048,+AC0-0.059,+AC0-0.059,
80,,,+AC0-0.067,+AC0-0.072,+AC0-0.078,+AC0-0.105,+AC0-0.133,
80,,,+AC0-0.066,+AC0-0.064,+AC0-0.058,+AC0-0.071,+AC0-0.071,
100,,,+AC0-0.081,+AC0-0.086,+AC0-0.093,+AC0-0.125,+AC0-0.158,
