,T5,T6,T7,T8
24,-0.038,-0.037,-0.033,-0.041
30,-0.047,-0.05,-0.054,-0.074
30,-0.044,-0.043,-0.039,-0.048
40,-0.055,-0.059,-0.064,-0.087
40,-0.05,-0.049,-0.045,-0.054
50,-0.061,-0.065,-0.07,-0.093
50,,-0.06,-0.055,-0.066
65,,-0.079,-0.085,-0.112
65,,-0.069,-0.064,-0.075
80,,-0.088,-0.094,-0.121
80,,-0.084,-0.078,-0.091
100,,-0.106,-0.113,-0.145
100,,-0.097,-0.091,-0.104
120,,-0.119,-0.126,-0.158
120,,-0.115,-0.107,-0.122
140,,-0.14,-0.147,-0.185
140,,-0.127,-0.119,-0.134
160,,-0.152,-0.159,-0.197
160,,-0.139,-0.131,-0.146
180,,-0.164,-0.171,-0.209
180,,-0.157,-0.149,-0.166
200,,-0.186,-0.195,-0.238
200,,-0.171,-0.163,-0.18
225,,-0.2,-0.209,-0.252
225,,-0.187,-0.179,-0.196
250,,-0.216,-0.225,-0.268
250,,-0.209,-0.198,-0.218
280,,-0.241,-0.25,-0.299
280,,-0.231,-0.22,-0.24
315,,-0.263,-0.272,-0.321
315,,-0.257,-0.247,-0.268
355,,-0.293,-0.304,-0.357
355,,-0.283,-0.273,-0.294
400,,-0.319,-0.33,-0.383
400,,-0.317,-0.307,-0.33
450,,-0.357,-0.37,-0.427
450,,-0.347,-0.337,-0.36
500,,-0.387,-0.4,-0.457
500,,-0.4,-0.4,-0.4
560,,-0.444,-0.47,-0.51
560,,-0.45,-0.45,-0.45
630,,-0.494,-0.52,-0.56
630,,-0.5,-0.5,-0.5
710,,-0.55,-0.58,-0.625
710,,-0.56,-0.56,-0.56
800,,-0.61,-0.64,-0.685
800,,-0.62,-0.62,-0.62
900,,-0.676,-0.71,-0.76
900,,-0.68,-0.68,-0.68
1000,,-0.736,-0.77,-0.82
1000,,-0.78,-0.78,-0.78
1120,,-0.846,-0.885,-0.945
1120,,-0.84,-0.84,-0.84
1250,,-0.906,-0.945,-1.005
1250,,-0.96,-0.96,-0.96
1400,,-1.038,-1.085,-1.155
1400,,-1.05,-1.05,-1.05
1600,,-1.128,-1.175,-1.245
1600,,-1.2,-1.2,-1.2
1800,,-1.292,-1.35,-1.43
1800,,-1.35,-1.35,-1.35
2000,,-1.442,-1.5,-1.58
2000,,-1.5,-1.5,-1.5
2240,,-1.61,-1.675,-1.78
2240,,-1.65,-1.65,-1.65
2500,,-1.76,-1.825,-1.93
2500,,-1.9,-1.9,-1.9
2800,,-2.035,-2.11,-2.23
2800,,-2.1,-2.1,-2.1
3150,,-2.235,-2.31,-2.43
