,U5,U6,U7,U8,U9,U10
,+AC0-0.018,+AC0-0.018,+AC0-0.018,+AC0-0.018,+AC0-0.018,+AC0-0.018
3,+AC0-0.022,+AC0-0.024,+AC0-0.028,+AC0-0.032,+AC0-0.043,+AC0-0.058
3,+AC0-0.022,+AC0-0.02,+AC0-0.019,+AC0-0.023,+AC0-0.023,+AC0-0.023
6,+AC0-0.027,+AC0-0.028,+AC0-0.031,+AC0-0.041,+AC0-0.053,+AC0-0.071
6,+AC0-0.026,+AC0-0.025,+AC0-0.022,+AC0-0.028,+AC0-0.028,+AC0-0.028
10,+AC0-0.032,+AC0-0.034,+AC0-0.037,+AC0-0.05,+AC0-0.064,+AC0-0.086
10,+AC0-0.03,+AC0-0.03,+AC0-0.026,+AC0-0.033,+AC0-0.033,+AC0-0.033
18,+AC0-0.038,+AC0-0.041,+AC0-0.044,+AC0-0.06,+AC0-0.076,+AC0-0.103
18,+AC0-0.038,+AC0-0.037,+AC0-0.033,+AC0-0.041,+AC0-0.041,+AC0-0.041
24,+AC0-0.047,+AC0-0.05,+AC0-0.054,+AC0-0.074,+AC0-0.093,+AC0-0.125
24,+AC0-0.045,+AC0-0.044,+AC0-0.04,+AC0-0.048,+AC0-0.048,+AC0-0.048
30,+AC0-0.054,+AC0-0.057,+AC0-0.061,+AC0-0.081,+AC0-0.1,+AC0-0.132
30,+AC0-0.056,+AC0-0.055,+AC0-0.051,+AC0-0.06,+AC0-0.06,+AC0-0.06
40,+AC0-0.067,+AC0-0.071,+AC0-0.076,+AC0-0.099,+AC0-0.122,+AC0-0.16
40,+AC0-0.066,+AC0-0.065,+AC0-0.061,+AC0-0.07,+AC0-0.07,+AC0-0.07
50,+AC0-0.077,+AC0-0.081,+AC0-0.086,+AC0-0.109,+AC0-0.132,+AC0-0.17
50,,+AC0-0.081,+AC0-0.076,+AC0-0.087,+AC0-0.087,+AC0-0.087
65,,+AC0-0.1,+AC0-0.106,+AC0-0.133,+AC0-0.161,+AC0-0.207
65,,+AC0-0.096,+AC0-0.091,+AC0-0.102,+AC0-0.102,+AC0-0.102
80,,+AC0-0.115,+AC0-0.121,+AC0-0.148,+AC0-0.176,+AC0-0.222
80,,+AC0-0.117,+AC0-0.111,+AC0-0.124,+AC0-0.124,+AC0-0.124
100,,+AC0-0.139,+AC0-0.146,+AC0-0.178,+AC0-0.211,+AC0-0.264
100,,+AC0-0.137,+AC0-0.131,+AC0-0.144,+AC0-0.144,+AC0-0.144
120,,+AC0-0.159,+AC0-0.166,+AC0-0.198,+AC0-0.231,+AC0-0.284
120,,+AC0-0.163,+AC0-0.155,+AC0-0.17,+AC0-0.17,+AC0-0.17
140,,+AC0-0.188,+AC0-0.195,+AC0-0.233,+AC0-0.27,+AC0-0.33
140,,+AC0-0.183,+AC0-0.175,+AC0-0.19,+AC0-0.19,+AC0-0.19
160,,+AC0-0.208,+AC0-0.215,+AC0-0.253,+AC0-0.29,+AC0-0.35
160,,+AC0-0.203,+AC0-0.195,+AC0-0.21,+AC0-0.21,+AC0-0.21
180,,+AC0-0.228,+AC0-0.235,+AC0-0.273,+AC0-0.31,+AC0-0.37
180,,+AC0-0.227,+AC0-0.219,+AC0-0.236,+AC0-0.236,+AC0-0.236
200,,+AC0-0.256,+AC0-0.265,+AC0-0.308,+AC0-0.351,+AC0-0.421
200,,+AC0-0.249,+AC0-0.241,+AC0-0.258,+AC0-0.258,+AC0-0.258
225,,+AC0-0.278,+AC0-0.287,+AC0-0.33,+AC0-0.373,+AC0-0.443
225,,+AC0-0.275,+AC0-0.267,+AC0-0.284,+AC0-0.284,+AC0-0.284
250,,+AC0-0.304,+AC0-0.313,+AC0-0.356,+AC0-0.399,+AC0-0.469
250,,+AC0-0.306,+AC0-0.295,+AC0-0.315,+AC0-0.315,+AC0-0.315
280,,+AC0-0.338,+AC0-0.347,+AC0-0.396,+AC0-0.445,+AC0-0.525
280,,+AC0-0.341,+AC0-0.33,+AC0-0.35,+AC0-0.35,+AC0-0.35
315,,+AC0-0.373,+AC0-0.382,+AC0-0.431,+AC0-0.48,+AC0-0.56
315,,+AC0-0.379,+AC0-0.369,+AC0-0.39,+AC0-0.39,+AC0-0.39
355,,+AC0-0.415,+AC0-0.426,+AC0-0.479,+AC0-0.53,+AC0-0.62
355,,+AC0-0.424,+AC0-0.414,+AC0-0.435,+AC0-0.435,+AC0-0.435
400,,+AC0-0.46,+AC0-0.471,+AC0-0.524,+AC0-0.575,+AC0-0.665
400,,+AC0-0.477,+AC0-0.467,+AC0-0.49,+AC0-0.49,+AC0-0.49
450,,+AC0-0.517,+AC0-0.53,+AC0-0.587,+AC0-0.645,+AC0-0.74
450,,+AC0-0.527,+AC0-0.517,+AC0-0.54,+AC0-0.54,+AC0-0.54
500,,+AC0-0.567,+AC0-0.58,+AC0-0.637,+AC0-0.695,+AC0-0.79
500,,+AC0-0.6,+AC0-0.6,+AC0-0.6,,
