,X5,X6,X7,X8,X9,X10
,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02
3,+AC0-0.024,+AC0-0.026,+AC0-0.03,+AC0-0.034,+AC0-0.045,+AC0-0.06
3,+AC0-0.027,+AC0-0.025,+AC0-0.024,+AC0-0.028,+AC0-0.028,+AC0-0.028
6,+AC0-0.032,+AC0-0.033,+AC0-0.036,+AC0-0.046,+AC0-0.058,+AC0-0.076
6,+AC0-0.032,+AC0-0.031,+AC0-0.028,+AC0-0.034,+AC0-0.034,+AC0-0.034
10,+AC0-0.038,+AC0-0.04,+AC0-0.043,+AC0-0.056,+AC0-0.07,+AC0-0.092
10,+AC0-0.037,+AC0-0.037,+AC0-0.033,+AC0-0.04,+AC0-0.04,+AC0-0.04
14,+AC0-0.045,+AC0-0.048,+AC0-0.051,+AC0-0.067,+AC0-0.083,+AC0-0.11
14,+AC0-0.042,+AC0-0.042,+AC0-0.038,+AC0-0.045,+AC0-0.045,+AC0-0.045
18,+AC0-0.05,+AC0-0.053,+AC0-0.056,+AC0-0.072,+AC0-0.088,+AC0-0.115
18,+AC0-0.051,+AC0-0.05,+AC0-0.046,+AC0-0.054,+AC0-0.054,+AC0-0.054
24,+AC0-0.06,+AC0-0.063,+AC0-0.067,+AC0-0.087,+AC0-0.106,+AC0-0.138
24,+AC0-0.061,+AC0-0.06,+AC0-0.056,+AC0-0.064,+AC0-0.064,+AC0-0.064
30,+AC0-0.07,+AC0-0.073,+AC0-0.077,+AC0-0.097,+AC0-0.116,+AC0-0.148
30,+AC0-0.076,+AC0-0.075,+AC0-0.071,+AC0-0.08,+AC0-0.08,+AC0-0.08
40,+AC0-0.087,+AC0-0.091,+AC0-0.096,+AC0-0.119,+AC0-0.142,+AC0-0.18
40,+AC0-0.093,+AC0-0.092,+AC0-0.088,+AC0-0.097,+AC0-0.097,+AC0-0.097
50,+AC0-0.104,+AC0-0.108,+AC0-0.113,+AC0-0.136,+AC0-0.159,+AC0-0.197
50,,+AC0-0.116,+AC0-0.111,+AC0-0.122,+AC0-0.122,
65,,+AC0-0.135,+AC0-0.141,+AC0-0.168,+AC0-0.196,
65,,+AC0-0.14,+AC0-0.135,+AC0-0.146,+AC0-0.146,
80,,+AC0-0.159,+AC0-0.165,+AC0-0.192,+AC0-0.22,
80,,+AC0-0.171,+AC0-0.165,+AC0-0.178,+AC0-0.178,
100,,+AC0-0.193,+AC0-0.2,+AC0-0.232,+AC0-0.265,
100,,+AC0-0.203,+AC0-0.197,+AC0-0.21,+AC0-0.21,
120,,+AC0-0.225,+AC0-0.232,+AC0-0.264,+AC0-0.297,
120,,+AC0-0.241,+AC0-0.233,+AC0-0.248,+AC0-0.248,
140,,+AC0-0.266,+AC0-0.273,+AC0-0.311,+AC0-0.348,
140,,+AC0-0.273,+AC0-0.265,+AC0-0.28,+AC0-0.28,
160,,+AC0-0.298,+AC0-0.305,+AC0-0.343,+AC0-0.38,
+AC0-16,,+AC0-0.303,+AC0-0.295,+AC0-0.31,+AC0-0.31,
180,,+AC0-0.328,+AC0-0.335,+AC0-0.373,+AC0-0.41,
180,,+AC0-0.341,+AC0-0.333,+AC0-0.35,+AC0-0.35,
200,,+AC0-0.37,+AC0-0.379,+AC0-0.422,+AC0-0.465,
200,,+AC0-0.376,+AC0-0.368,+AC0-0.385,+AC0-0.385,
225,,+AC0-0.405,+AC0-0.414,+AC0-0.457,+AC0-0.5,
225,,+AC0-0.416,+AC0-0.408,+AC0-0.425,+AC0-0.425,
250,,+AC0-0.445,+AC0-0.454,+AC0-0.497,+AC0-0.54,
250,,+AC0-0.466,+AC0-0.455,+AC0-0.475,+AC0-0.475,
280,,+AC0-0.498,+AC0-0.507,+AC0-0.556,+AC0-0.605,
280,,+AC0-0.516,+AC0-0.505,+AC0-0.525,+AC0-0.525,
315,,+AC0-0.548,+AC0-0.557,+AC0-0.606,+AC0-0.655,
315,,+AC0-0.579,+AC0-0.569,+AC0-0.59,+AC0-0.59,
355,,+AC0-0.615,+AC0-0.626,+AC0-0.679,+AC0-0.73,
355,,+AC0-0.649,+AC0-0.639,+AC0-0.66,+AC0-0.66,
400,,+AC0-0.685,+AC0-0.696,+AC0-0.749,+AC0-0.8,
400,,+AC0-0.727,+AC0-0.717,+AC0-0.74,+AC0-0.74,
450,,+AC0-0.767,+AC0-0.78,+AC0-0.837,+AC0-0.895,
450,,+AC0-0.807,+AC0-0.797,+AC0-0.82,+AC0-0.82,
500,,+AC0-0.847,+AC0-0.86,+AC0-0.917,+AC0-0.975,
