,Y6,Y7,Y8,Y9,Y10
18,-0.059,-0.055,-0.063,-0.063,-0.063
24,-0.072,-0.076,-0.096,-0.115,-0.147
24,-0.071,-0.067,-0.075,-0.075,-0.075
30,-0.084,-0.088,-0.108,-0.127,-0.159
30,-0.089,-0.085,-0.094,-0.094,-0.094
40,-0.105,-0.11,-0.133,-0.156,-0.194
40,-0.109,-0.105,-0.114,-0.114,-0.114
50,-0.125,-0.13,-0.153,-0.176,-0.214
50,-0.138,-0.133,-0.144,,
65,-0.157,-0.163,-0.19,,
65,-0.168,-0.163,-0.174,,
80,-0.187,-0.193,-0.22,,
80,-0.207,-0.201,-0.214,,
100,-0.229,-0.236,-0.268,,
100,-0.247,-0.241,-0.254,,
120,-0.269,-0.276,-0.308,,
120,-0.293,-0.285,-0.3,,
140,-0.318,-0.325,-0.363,,
140,-0.333,-0.325,-0.34,,
160,-0.358,-0.365,-0.403,,
160,-0.373,-0.365,-0.38,,
180,-0.398,-0.405,-0.443,,
180,-0.416,-0.408,-0.425,,
200,-0.445,-0.454,-0.497,,
200,-0.461,-0.453,-0.47,,
225,-0.49,-0.499,-0.542,,
225,-0.511,-0.503,-0.52,,
250,-0.54,-0.549,-0.592,,
250,-0.571,-0.56,-0.58,,
280,-0.603,-0.612,-0.661,,
280,-0.641,-0.63,-0.65,,
315,-0.673,-0.682,-0.731,,
315,-0.719,-0.709,-0.73,,
355,-0.755,-0.766,-0.819,,
355,-0.809,-0.799,-0.82,,
400,-0.845,-0.856,-0.909,,
400,-0.907,-0.897,-0.92,,
450,-0.947,-0.96,-1.017,,
450,-0.987,-0.977,-1,,
500,-1.027,-1.04,-1.097,,
