,c8,c9,c10,c11,c12
,+AC0-0.06,+AC0-0.06,+AC0-0.06,+AC0-0.06,+AC0-0.06
3,+AC0-0.074,+AC0-0.085,+AC0-0.1,+AC0-0.12,+AC0-0.16
3,+AC0-0.07,+AC0-0.07,+AC0-0.07,+AC0-0.07,+AC0-0.07
6,+AC0-0.088,+AC0-0.1,+AC0-0.118,+AC0-0.145,+AC0-0.19
6,+AC0-0.08,+AC0-0.08,+AC0-0.08,+AC0-0.08,+AC0-0.08
10,+AC0-0.102,+AC0-0.116,+AC0-0.138,+AC0-0.17,+AC0-0.23
10,+AC0-0.095,+AC0-0.095,+AC0-0.095,+AC0-0.095,+AC0-0.095
18,+AC0-0.122,+AC0-0.138,+AC0-0.165,+AC0-0.205,+AC0-0.275
18,+AC0-0.11,+AC0-0.11,+AC0-0.11,+AC0-0.11,+AC0-0.11
30,+AC0-0.143,+AC0-0.162,+AC0-0.194,+AC0-0.24,+AC0-0.32
30,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12
40,+AC0-0.159,+AC0-0.182,+AC0-0.22,+AC0-0.28,+AC0-0.37
40,+AC0-0.13,+AC0-0.13,+AC0-0.13,+AC0-0.13,+AC0-0.13
50,+AC0-0.169,+AC0-0.192,+AC0-0.23,+AC0-0.29,+AC0-0.38
50,+AC0-0.14,+AC0-0.14,+AC0-0.14,+AC0-0.14,+AC0-0.14
65,+AC0-0.186,+AC0-0.214,+AC0-0.26,+AC0-0.33,+AC0-0.44
65,+AC0-0.15,+AC0-0.15,+AC0-0.15,+AC0-0.15,+AC0-0.15
80,+AC0-0.196,+AC0-0.224,+AC0-0.27,+AC0-0.34,+AC0-0.45
80,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17
100,+AC0-0.224,+AC0-0.257,+AC0-0.31,+AC0-0.39,+AC0-0.52
100,+AC0-0.18,+AC0-0.18,+AC0-0.18,+AC0-0.18,+AC0-0.18
120,+AC0-0.234,+AC0-0.267,+AC0-0.32,+AC0-0.4,+AC0-0.53
120,+AC0-0.2,+AC0-0.2,+AC0-0.2,+AC0-0.2,+AC0-0.2
140,+AC0-0.263,+AC0-0.3,+AC0-0.36,+AC0-0.45,+AC0-0.6
140,+AC0-0.21,+AC0-0.21,+AC0-0.21,+AC0-0.21,+AC0-0.21
160,+AC0-0.273,+AC0-0.31,+AC0-0.37,+AC0-0.46,+AC0-0.61
160,+AC0-0.23,+AC0-0.23,+AC0-0.23,+AC0-0.23,+AC0-0.23
180,+AC0-0.293,+AC0-0.33,+AC0-0.39,+AC0-0.48,+AC0-0.63
180,+AC0-0.24,+AC0-0.24,+AC0-0.24,+AC0-0.24,+AC0-0.24
200,+AC0-0.312,+AC0-0.355,+AC0-0.425,+AC0-0.53,+AC0-0.7
200,+AC0-0.26,+AC0-0.26,+AC0-0.26,+AC0-0.26,+AC0-0.26
225,+AC0-0.332,+AC0-0.375,+AC0-0.445,+AC0-0.55,+AC0-0.72
225,+AC0-0.28,+AC0-0.28,+AC0-0.28,+AC0-0.28,+AC0-0.28
250,+AC0-0.352,+AC0-0.395,+AC0-0.465,+AC0-0.57,+AC0-0.74
250,+AC0-0.3,+AC0-0.3,+AC0-0.3,+AC0-0.3,+AC0-0.3
280,+AC0-0.381,+AC0-0.43,+AC0-0.51,+AC0-0.62,+AC0-0.82
280,+AC0-0.33,+AC0-0.33,+AC0-0.33,+AC0-0.33,+AC0-0.33
315,+AC0-0.411,+AC0-0.46,+AC0-0.54,+AC0-0.65,+AC0-0.85
315,+AC0-0.36,+AC0-0.36,+AC0-0.36,+AC0-0.36,+AC0-0.36
355,+AC0-0.449,+AC0-0.5,+AC0-0.59,+AC0-0.72,+AC0-0.93
355,+AC0-0.4,+AC0-0.4,+AC0-0.4,+AC0-0.4,+AC0-0.4
400,+AC0-0.489,+AC0-0.54,+AC0-0.63,+AC0-0.76,+AC0-0.97
400,+AC0-0.44,+AC0-0.44,+AC0-0.44,+AC0-0.44,+AC0-0.44
450,+AC0-0.537,+AC0-0.595,+AC0-0.69,+AC0-0.84,+AC0-1.07
450,+AC0-0.48,+AC0-0.48,+AC0-0.48,+AC0-0.48,+AC0-0.48
500,+AC0-0.577,+AC0-0.635,+AC0-0.73,+AC0-0.88,+AC0-1.11
