,d5,d6,d7,d8,d9,d10,d11,d12,d13
,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02
3,+AC0-0.024,+AC0-0.026,+AC0-0.03,+AC0-0.034,+AC0-0.045,+AC0-0.06,+AC0-0.08,+AC0-0.12,+AC0-0.16
3,+AC0-0.03,+AC0-0.03,+AC0-0.03,+AC0-0.03,+AC0-0.03,+AC0-0.03,+AC0-0.03,+AC0-0.03,+AC0-0.03
6,+AC0-0.035,+AC0-0.038,+AC0-0.042,+AC0-0.048,+AC0-0.06,+AC0-0.078,+AC0-0.105,+AC0-0.15,+AC0-0.21
6,+AC0-0.04,+AC0-0.04,+AC0-0.04,+AC0-0.04,+AC0-0.04,+AC0-0.04,+AC0-0.04,+AC0-0.04,+AC0-0.04
10,+AC0-0.046,+AC0-0.049,+AC0-0.055,+AC0-0.062,+AC0-0.076,+AC0-0.098,+AC0-0.13,+AC0-0.19,+AC0-0.26
10,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05
18,+AC0-0.058,+AC0-0.061,+AC0-0.068,+AC0-0.077,+AC0-0.093,+AC0-0.12,+AC0-0.16,+AC0-0.23,+AC0-0.32
18,+AC0-0.065,+AC0-0.065,+AC0-0.065,+AC0-0.065,+AC0-0.065,+AC0-0.065,+AC0-0.065,+AC0-0.065,+AC0-0.065
30,+AC0-0.074,+AC0-0.078,+AC0-0.086,+AC0-0.098,+AC0-0.117,+AC0-0.149,+AC0-0.195,+AC0-0.275,+AC0-0.395
30,+AC0-0.08,+AC0-0.08,+AC0-0.08,+AC0-0.08,+AC0-0.08,+AC0-0.08,+AC0-0.08,+AC0-0.08,+AC0-0.08
50,+AC0-0.091,+AC0-0.096,+AC0-0.105,+AC0-0.119,+AC0-0.142,+AC0-0.18,+AC0-0.24,+AC0-0.33,+AC0-0.47
50,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1
80,+AC0-0.113,+AC0-0.119,+AC0-0.13,+AC0-0.146,+AC0-0.174,+AC0-0.22,+AC0-0.29,+AC0-0.4,+AC0-0.56
80,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12
120,+AC0-0.135,+AC0-0.142,+AC0-0.155,+AC0-0.174,+AC0-0.207,+AC0-0.26,+AC0-0.34,+AC0-0.47,+AC0-0.66
120,+AC0-0.145,+AC0-0.145,+AC0-0.145,+AC0-0.145,+AC0-0.145,+AC0-0.145,+AC0-0.145,+AC0-0.145,+AC0-0.145
180,+AC0-0.163,+AC0-0.17,+AC0-0.185,+AC0-0.208,+AC0-0.245,+AC0-0.305,+AC0-0.395,+AC0-0.545,+AC0-0.775
180,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17
250,+AC0-0.19,+AC0-0.199,+AC0-0.216,+AC0-0.242,+AC0-0.285,+AC0-0.355,+AC0-0.46,+AC0-0.63,+AC0-0.89
250,+AC0-0.19,+AC0-0.19,+AC0-0.19,+AC0-0.19,+AC0-0.19,+AC0-0.19,+AC0-0.19,+AC0-0.19,+AC0-0.19
315,+AC0-0.213,+AC0-0.222,+AC0-0.242,+AC0-0.271,+AC0-0.32,+AC0-0.4,+AC0-0.51,+AC0-0.71,+AC0-1
315,+AC0-0.21,+AC0-0.21,+AC0-0.21,+AC0-0.21,+AC0-0.21,+AC0-0.21,+AC0-0.21,+AC0-0.21,+AC0-0.21
400,+AC0-0.235,+AC0-0.246,+AC0-0.267,+AC0-0.299,+AC0-0.35,+AC0-0.44,+AC0-0.57,+AC0-0.78,+AC0-1.1
400,+AC0-0.23,+AC0-0.23,+AC0-0.23,+AC0-0.23,+AC0-0.23,+AC0-0.23,+AC0-0.23,+AC0-0.23,+AC0-0.23
500,+AC0-0.257,+AC0-0.27,+AC0-0.293,+AC0-0.327,+AC0-0.385,+AC0-0.48,+AC0-0.63,+AC0-0.86,+AC0-1.2
500,,,+AC0-0.26,+AC0-0.26,+AC0-0.26,+AC0-0.26,+AC0-0.26,,
630,,,+AC0-0.33,+AC0-0.37,+AC0-0.435,+AC0-0.54,+AC0-0.7,,
630,,,+AC0-0.29,+AC0-0.29,+AC0-0.29,+AC0-0.29,+AC0-0.29,,
800,,,+AC0-0.37,+AC0-0.415,+AC0-0.49,+AC0-0.61,+AC0-0.79,,
800,,,+AC0-0.32,+AC0-0.32,+AC0-0.32,+AC0-0.32,+AC0-0.32,,
1000,,,+AC0-0.41,+AC0-0.46,+AC0-0.55,+AC0-0.68,+AC0-0.88,,
1000,,,+AC0-0.35,+AC0-0.35,+AC0-0.35,+AC0-0.35,+AC0-0.35,,
1250,,,+AC0-0.455,+AC0-0.515,+AC0-0.61,+AC0-0.77,+AC0-1.01,,
1250,,,+AC0-0.39,+AC0-0.39,+AC0-0.39,+AC0-0.39,+AC0-0.39,,
1600,,,+AC0-0.515,+AC0-0.585,+AC0-0.7,+AC0-0.89,+AC0-1.17,,
1600,,,+AC0-0.43,+AC0-0.43,+AC0-0.43,+AC0-0.43,+AC0-0.43,,
2000,,,+AC0-0.58,+AC0-0.66,+AC0-0.8,+AC0-1.03,+AC0-1.35,,
2000,,,+AC0-0.48,+AC0-0.48,+AC0-0.48,+AC0-0.48,+AC0-0.48,,
2500,,,+AC0-0.655,+AC0-0.76,+AC0-0.92,+AC0-1.18,+AC0-1.58,,
2500,,,+AC0-0.52,+AC0-0.52,+AC0-0.52,+AC0-0.52,+AC0-0.52,,
3150,,,+AC0-0.73,+AC0-0.85,+AC0-1.06,+AC0-1.38,+AC0-1.87,,
