,e5,e6,e7,e8,e9,e10
,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014
3,+AC0-0.018,+AC0-0.02,+AC0-0.024,+AC0-0.028,+AC0-0.039,+AC0-0.054
3,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02
6,+AC0-0.025,+AC0-0.028,+AC0-0.032,+AC0-0.038,+AC0-0.05,+AC0-0.068
6,+AC0-0.025,+AC0-0.025,+AC0-0.025,+AC0-0.025,+AC0-0.025,+AC0-0.025
10,+AC0-0.031,+AC0-0.034,+AC0-0.04,+AC0-0.047,+AC0-0.061,+AC0-0.083
10,+AC0-0.032,+AC0-0.032,+AC0-0.032,+AC0-0.032,+AC0-0.032,+AC0-0.032
18,+AC0-0.04,+AC0-0.043,+AC0-0.05,+AC0-0.059,+AC0-0.075,+AC0-0.102
18,+AC0-0.04,+AC0-0.04,+AC0-0.04,+AC0-0.04,+AC0-0.04,+AC0-0.04
30,+AC0-0.049,+AC0-0.053,+AC0-0.061,+AC0-0.073,+AC0-0.092,+AC0-0.124
30,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05
50,+AC0-0.061,+AC0-0.066,+AC0-0.075,+AC0-0.089,+AC0-0.112,+AC0-0.15
50,+AC0-0.06,+AC0-0.06,+AC0-0.06,+AC0-0.06,+AC0-0.06,+AC0-0.06
80,+AC0-0.073,+AC0-0.079,+AC0-0.09,+AC0-0.106,+AC0-0.134,+AC0-0.18
80,+AC0-0.072,+AC0-0.072,+AC0-0.072,+AC0-0.072,+AC0-0.072,+AC0-0.072
120,+AC0-0.087,+AC0-0.094,+AC0-0.107,+AC0-0.126,+AC0-0.159,+AC0-0.212
120,+AC0-0.085,+AC0-0.085,+AC0-0.085,+AC0-0.085,+AC0-0.085,+AC0-0.085
180,+AC0-0.103,+AC0-0.11,+AC0-0.125,+AC0-0.148,+AC0-0.185,+AC0-0.245
180,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1
250,+AC0-0.12,+AC0-0.129,+AC0-0.146,+AC0-0.172,+AC0-0.215,+AC0-0.285
250,+AC0-0.11,+AC0-0.11,+AC0-0.11,+AC0-0.11,+AC0-0.11,+AC0-0.11
315,+AC0-0.133,+AC0-0.142,+AC0-0.162,+AC0-0.191,+AC0-0.24,+AC0-0.32
315,+AC0-0.125,+AC0-0.125,+AC0-0.125,+AC0-0.125,+AC0-0.125,+AC0-0.125
400,+AC0-0.15,+AC0-0.161,+AC0-0.182,+AC0-0.214,+AC0-0.265,+AC0-0.355
400,+AC0-0.135,+AC0-0.135,+AC0-0.135,+AC0-0.135,+AC0-0.135,+AC0-0.135
500,+AC0-0.162,+AC0-0.175,+AC0-0.198,+AC0-0.232,+AC0-0.29,+AC0-0.385
500,,+AC0-0.145,+AC0-0.145,+AC0-0.145,+AC0-0.145,+AC0-0.145
630,,+AC0-0.189,+AC0-0.215,+AC0-0.255,+AC0-0.32,+AC0-0.425
630,,+AC0-0.16,+AC0-0.16,+AC0-0.16,+AC0-0.16,+AC0-0.16
800,,+AC0-0.21,+AC0-0.24,+AC0-0.285,+AC0-0.36,+AC0-0.48
800,,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17
1000,,+AC0-0.226,+AC0-0.26,+AC0-0.31,+AC0-0.4,+AC0-0.53
1000,,+AC0-0.195,+AC0-0.195,+AC0-0.195,+AC0-0.195,+AC0-0.195
1250,,+AC0-0.261,+AC0-0.3,+AC0-0.36,+AC0-0.455,+AC0-0.615
1250,,+AC0-0.22,+AC0-0.22,+AC0-0.22,+AC0-0.22,+AC0-0.22
1600,,+AC0-0.298,+AC0-0.345,+AC0-0.415,+AC0-0.53,+AC0-0.72
1600,,+AC0-0.24,+AC0-0.24,+AC0-0.24,+AC0-0.24,+AC0-0.24
2000,,+AC0-0.332,+AC0-0.39,+AC0-0.47,+AC0-0.61,+AC0-0.84
2000,,+AC0-0.26,+AC0-0.26,+AC0-0.26,+AC0-0.26,+AC0-0.26
2500,,+AC0-0.37,+AC0-0.435,+AC0-0.54,+AC0-0.7,+AC0-0.96
2500,,+AC0-0.29,+AC0-0.29,+AC0-0.29,+AC0-0.29,+AC0-0.29
3150,,+AC0-0.425,+AC0-0.5,+AC0-0.62,+AC0-0.83,+AC0-1.15
