,f3,f4,f5,f6,f7,f8,f9,f10
,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006
3,+AC0-0.008,+AC0-0.009,+AC0-0.01,+AC0-0.012,+AC0-0.016,+AC0-0.02,+AC0-0.031,+AC0-0.046
3,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01
6,+AC0-0.0125,+AC0-0.014,+AC0-0.015,+AC0-0.018,+AC0-0.022,+AC0-0.028,+AC0-0.04,+AC0-0.058
6,+AC0-0.013,+AC0-0.013,+AC0-0.013,+AC0-0.013,+AC0-0.013,+AC0-0.013,+AC0-0.013,+AC0-0.013
10,+AC0-0.0155,+AC0-0.017,+AC0-0.019,+AC0-0.022,+AC0-0.028,+AC0-0.035,+AC0-0.049,+AC0-0.071
10,+AC0-0.016,+AC0-0.016,+AC0-0.016,+AC0-0.016,+AC0-0.016,+AC0-0.016,+AC0-0.016,+AC0-0.016
18,+AC0-0.019,+AC0-0.021,+AC0-0.024,+AC0-0.027,+AC0-0.034,+AC0-0.043,+AC0-0.059,+AC0-0.086
18,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02
30,+AC0-0.024,+AC0-0.026,+AC0-0.029,+AC0-0.033,+AC0-0.041,+AC0-0.053,+AC0-0.072,+AC0-0.104
30,+AC0-0.025,+AC0-0.025,+AC0-0.025,+AC0-0.025,+AC0-0.025,+AC0-0.025,+AC0-0.025,+AC0-0.025
50,+AC0-0.029,+AC0-0.032,+AC0-0.036,+AC0-0.041,+AC0-0.05,+AC0-0.064,+AC0-0.087,+AC0-0.125
50,,+AC0-0.03,+AC0-0.03,+AC0-0.03,+AC0-0.03,+AC0-0.03,+AC0-0.03,
80,,+AC0-0.038,+AC0-0.043,+AC0-0.049,+AC0-0.06,+AC0-0.076,+AC0-0.104,
80,,+AC0-0.036,+AC0-0.036,+AC0-0.036,+AC0-0.036,+AC0-0.036,+AC0-0.036,
120,,+AC0-0.046,+AC0-0.051,+AC0-0.058,+AC0-0.071,+AC0-0.09,+AC0-0.123,
120,,+AC0-0.043,+AC0-0.043,+AC0-0.043,+AC0-0.043,+AC0-0.043,+AC0-0.043,
180,,+AC0-0.055,+AC0-0.061,+AC0-0.068,+AC0-0.083,+AC0-0.106,+AC0-0.143,
180,,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,
250,,+AC0-0.064,+AC0-0.07,+AC0-0.079,+AC0-0.096,+AC0-0.122,+AC0-0.165,
250,,+AC0-0.056,+AC0-0.056,+AC0-0.056,+AC0-0.056,+AC0-0.056,+AC0-0.056,
315,,+AC0-0.072,+AC0-0.079,+AC0-0.088,+AC0-0.108,+AC0-0.137,+AC0-0.186,
315,,+AC0-0.062,+AC0-0.062,+AC0-0.062,+AC0-0.062,+AC0-0.062,+AC0-0.062,
400,,+AC0-0.08,+AC0-0.087,+AC0-0.098,+AC0-0.119,+AC0-0.151,+AC0-0.202,
400,,+AC0-0.068,+AC0-0.068,+AC0-0.068,+AC0-0.068,+AC0-0.068,+AC0-0.068,
500,,+AC0-0.088,+AC0-0.095,+AC0-0.108,+AC0-0.131,+AC0-0.165,+AC0-0.223,
500,,,,+AC0-0.076,+AC0-0.076,+AC0-0.076,+AC0-0.076,
630,,,,+AC0-0.12,+AC0-0.146,+AC0-0.186,+AC0-0.251,
630,,,,+AC0-0.08,+AC0-0.08,+AC0-0.08,+AC0-0.08,
800,,,,+AC0-0.13,+AC0-0.16,+AC0-0.205,+AC0-0.28,
800,,,,+AC0-0.086,+AC0-0.086,+AC0-0.086,+AC0-0.086,
1000,,,,+AC0-0.142,+AC0-0.176,+AC0-0.226,+AC0-0.316,
1000,,,,+AC0-0.098,+AC0-0.098,+AC0-0.098,+AC0-0.098,
1250,,,,+AC0-0.164,+AC0-0.203,+AC0-0.263,+AC0-0.358,
1250,,,,+AC0-0.11,+AC0-0.11,+AC0-0.11,+AC0-0.11,
1600,,,,+AC0-0.188,+AC0-0.235,+AC0-0.305,+AC0-0.42,
1600,,,,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12,
2000,,,,+AC0-0.212,+AC0-0.27,+AC0-0.35,+AC0-0.49,
2000,,,,+AC0-0.13,+AC0-0.13,+AC0-0.13,+AC0-0.13,
2500,,,,+AC0-0.24,+AC0-0.305,+AC0-0.41,+AC0-0.57,
2500,,,,+AC0-0.145,+AC0-0.145,+AC0-0.145,+AC0-0.145,
3150,,,,+AC0-0.28,+AC0-0.355,+AC0-0.475,+AC0-0.685,
