,g3,g4,g5,g6,g7,g8,g9,g10
,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002
3,+AC0-0.004,+AC0-0.005,+AC0-0.006,+AC0-0.008,+AC0-0.012,+AC0-0.016,+AC0-0.027,+AC0-0.042
3,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004
6,+AC0-0.0065,+AC0-0.008,+AC0-0.009,+AC0-0.012,+AC0-0.016,+AC0-0.022,+AC0-0.034,+AC0-0.052
6,+AC0-0.005,+AC0-0.005,+AC0-0.005,+AC0-0.005,+AC0-0.005,+AC0-0.005,+AC0-0.005,+AC0-0.005
10,+AC0-0.0075,+AC0-0.009,+AC0-0.011,+AC0-0.014,+AC0-0.02,+AC0-0.027,+AC0-0.041,+AC0-0.063
10,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006
18,+AC0-0.009,+AC0-0.011,+AC0-0.014,+AC0-0.017,+AC0-0.024,+AC0-0.033,+AC0-0.049,+AC0-0.076
18,+AC0-0.007,+AC0-0.007,+AC0-0.007,+AC0-0.007,+AC0-0.007,+AC0-0.007,+AC0-0.007,+AC0-0.007
30,+AC0-0.011,+AC0-0.013,+AC0-0.016,+AC0-0.02,+AC0-0.028,+AC0-0.04,+AC0-0.059,+AC0-0.091
30,+AC0-0.009,+AC0-0.009,+AC0-0.009,+AC0-0.009,+AC0-0.009,+AC0-0.009,+AC0-0.009,+AC0-0.009
50,+AC0-0.013,+AC0-0.016,+AC0-0.02,+AC0-0.025,+AC0-0.034,+AC0-0.048,+AC0-0.071,+AC0-0.109
50,,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,+AC0-0.01,,
80,,+AC0-0.018,+AC0-0.023,+AC0-0.029,+AC0-0.04,+AC0-0.056,,
80,,+AC0-0.012,+AC0-0.012,+AC0-0.012,+AC0-0.012,+AC0-0.012,,
120,,+AC0-0.022,+AC0-0.027,+AC0-0.034,+AC0-0.047,+AC0-0.066,,
120,,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014,+AC0-0.014,,
180,,+AC0-0.026,+AC0-0.032,+AC0-0.039,+AC0-0.054,+AC0-0.077,,
180,,+AC0-0.015,+AC0-0.015,+AC0-0.015,+AC0-0.015,+AC0-0.015,,
250,,+AC0-0.029,+AC0-0.035,+AC0-0.044,+AC0-0.061,+AC0-0.087,,
250,,+AC0-0.017,+AC0-0.017,+AC0-0.017,+AC0-0.017,+AC0-0.017,,
315,,+AC0-0.033,+AC0-0.04,+AC0-0.049,+AC0-0.069,+AC0-0.098,,
315,,+AC0-0.018,+AC0-0.018,+AC0-0.018,+AC0-0.018,+AC0-0.018,,
400,,+AC0-0.036,+AC0-0.043,+AC0-0.054,+AC0-0.075,+AC0-0.107,,
400,,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,+AC0-0.02,,
500,,+AC0-0.04,+AC0-0.047,+AC0-0.06,+AC0-0.083,+AC0-0.117,,
500,,,,+AC0-0.022,+AC0-0.022,+AC0-0.022,,
630,,,,+AC0-0.066,+AC0-0.092,+AC0-0.132,,
630,,,,+AC0-0.024,+AC0-0.024,+AC0-0.024,,
800,,,,+AC0-0.074,+AC0-0.104,+AC0-0.149,,
800,,,,+AC0-0.026,+AC0-0.026,+AC0-0.026,,
1000,,,,+AC0-0.082,+AC0-0.116,+AC0-0.166,,
1000,,,,+AC0-0.028,+AC0-0.028,+AC0-0.028,,
1250,,,,+AC0-0.094,+AC0-0.133,+AC0-0.193,,
1250,,,,+AC0-0.03,+AC0-0.03,+AC0-0.03,,
1600,,,,+AC0-0.108,+AC0-0.155,+AC0-0.225,,
1600,,,,+AC0-0.032,+AC0-0.032,+AC0-0.032,,
2000,,,,+AC0-0.124,+AC0-0.182,+AC0-0.262,,
2000,,,,+AC0-0.034,+AC0-0.034,+AC0-0.034,,
2500,,,,+AC0-0.144,+AC0-0.209,+AC0-0.314,,
2500,,,,+AC0-0.038,+AC0-0.038,+AC0-0.038,,
3150,,,,+AC0-0.173,+AC0-0.248,+AC0-0.368,,
