,j5,j6,j7,j8
,0.002,0.004,0.006,0.008
3,+AC0-0.002,+AC0-0.002,+AC0-0.004,+AC0-0.006
3,0.003,0.006,0.008,
6,+AC0-0.002,+AC0-0.002,+AC0-0.004,
6,0.004,0.007,0.01,
10,+AC0-0.002,+AC0-0.002,+AC0-0.005,
10,0.005,0.008,0.012,
18,+AC0-0.003,+AC0-0.003,+AC0-0.006,
18,0.005,0.009,0.013,
30,+AC0-0.004,+AC0-0.004,+AC0-0.008,
30,0.006,0.011,0.015,
50,+AC0-0.005,+AC0-0.005,+AC0-0.01,
50,0.006,0.012,0.018,
80,+AC0-0.007,+AC0-0.007,+AC0-0.012,
80,0.006,0.013,0.02,
120,+AC0-0.009,+AC0-0.009,+AC0-0.015,
120,0.007,0.014,0.022,
180,+AC0-0.011,+AC0-0.011,+AC0-0.018,
180,0.007,0.016,0.025,
250,+AC0-0.013,+AC0-0.013,+AC0-0.021,
250,0.007,0.016,0.026,
315,+AC0-0.016,+AC0-0.016,+AC0-0.026,
315,0.007,0.018,0.029,
400,+AC0-0.018,+AC0-0.018,+AC0-0.028,
400,0.007,0.02,0.031,
500,+AC0-0.02,+AC0-0.02,+AC0-0.032,
