,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13
,0.002,0.003,0.004,0.006,0.01,0.014,0.025,0.04,0.06,0.1,0.14
3,0,0,0,0,0,0,0,0,0,0,0
3,0.0025,0.005,0.006,0.009,0.013,0.018,0.03,0.048,0.075,0.12,0.18
6,0,0.001,0.001,0.001,0.001,0,0,0,0,0,0
6,0.0025,0.005,0.007,0.01,0.016,0.022,0.036,0.058,0.09,0.15,0.22
10,0,0.001,0.001,0.001,0.001,0,0,0,0,0,0
10,0.003,0.006,0.009,0.012,0.019,0.027,0.043,0.07,0.11,0.18,0.27
18,0,0.001,0.001,0.001,0.001,0,0,0,0,0,0
18,0.004,0.008,0.011,0.015,0.023,0.033,0.052,0.084,0.13,0.21,0.33
30,0,0.002,0.002,0.002,0.002,0,0,0,0,0,0
30,0.004,0.009,0.013,0.018,0.027,0.039,0.062,0.1,0.16,0.25,0.39
50,0,0.002,0.002,0.002,0.002,0,0,0,0,0,0
50,,0.01,0.015,0.021,0.032,0.046,0.074,0.12,0.19,0.3,0.46
80,,0.002,0.002,0.002,0.002,0,0,0,0,0,0
80,,0.013,0.018,0.025,0.038,0.054,0.087,0.14,0.22,0.35,0.54
120,,0.003,0.003,0.003,0.003,0,0,0,0,0,0
120,,0.015,0.021,0.028,0.043,0.063,0.1,0.16,0.25,0.4,0.63
180,,0.003,0.003,0.003,0.003,0,0,0,0,0,0
180,,0.018,0.024,0.033,0.05,0.072,0.115,0.185,0.29,0.46,0.72
250,,0.004,0.004,0.004,0.004,0,0,0,0,0,0
250,,0.02,0.027,0.036,0.056,0.081,0.13,0.21,0.32,0.52,0.81
315,,0.004,0.004,0.004,0.004,0,0,0,0,0,0
315,,0.022,0.029,0.04,0.061,0.089,0.14,0.23,0.36,0.57,0.89
400,,0.004,0.004,0.004,0.004,0,0,0,0,0,0
400,,0.025,0.032,0.045,0.068,0.097,0.155,0.25,0.4,0.53,0.97
500,,0.005,0.005,0.005,0.005,0,0,0,0,0,0
500,,,,0.044,0.07,0.11,0.175,0.28,0.44,0.7,0.1
630,,,,0,0,0,0,0,0,0,0
630,,,,0.05,0.08,0.125,0.2,0.32,0.5,0.8,0.25
800,,,,0,0,0,0,0,0,0,0
800,,,,0.056,0.09,0.14,0.23,0.36,0.56,0.9,0.4
1000,,,,0,0,0,0,0,0,0,0
1000,,,,0.066,0.105,0.165,0.26,0.42,0.66,0.05,0.65
1250,,,,0,0,0,0,0,0,0,0
1250,,,,0.078,0.125,0.195,0.31,0.5,0.78,0.25,0.95
1600,,,,0,0,0,0,0,0,0,0
1600,,,,0.092,0.15,0.23,0.37,0.6,0.92,0.5,0.3
2000,,,,0,0,0,0,0,0,0,0
2000,,,,0.11,0.175,0.28,0.44,0.7,0.1,0.75,0.8
2500,,,,0,0,0,0,0,0,0,0
2500,,,,0.135,0.21,0.33,0.54,0.86,0.35,0.1,0.3
3150,,,,0,0,0,0,0,0,0,0
