,m3,m4,m5,m6,m7,m8,m9
,0.004,0.005,0.006,0.008,0.012,0.016,0.027
3,0.002,0.002,0.002,0.002,0.002,0.002,0.002
3,0.0065,0.008,0.009,0.012,0.016,0.022,0.034
6,0.004,0.004,0.004,0.004,0.004,0.004,0.004
6,0.0085,0.01,0.012,0.015,0.021,0.028,0.042
10,0.006,0.006,0.006,0.006,0.006,0.006,0.006
10,0.01,0.012,0.015,0.018,0.025,0.034,0.05
18,0.007,0.007,0.007,0.007,0.007,0.007,0.007
18,0.012,0.014,0.017,0.021,0.029,0.041,0.06
30,0.008,0.008,0.008,0.008,0.008,0.008,0.008
30,0.013,0.016,0.02,0.025,0.034,0.048,0.071
50,0.009,0.009,0.009,0.009,0.009,0.009,0.009
50,,0.019,0.024,0.03,0.041,,
80,,0.011,0.011,0.011,0.011,,
80,,0.023,0.028,0.035,0.048,,
120,,0.013,0.013,0.013,0.013,,
120,,0.027,0.033,0.04,0.055,,
180,,0.015,0.015,0.015,0.015,,
180,,0.031,0.037,0.046,0.063,,
250,,0.017,0.017,0.017,0.017,,
250,,0.036,0.043,0.052,0.072,,
315,,0.02,0.02,0.02,0.02,,
315,,0.039,0.046,0.057,0.078,,
400,,0.021,0.021,0.021,0.021,,
400,,0.043,0.05,0.063,0.086,,
500,,0.023,0.023,0.023,0.023,,
500,,,,0.07,0.096,,
630,,,,0.026,0.026,,
630,,,,0.08,0.11,,
800,,,,0.03,0.03,,
800,,,,0.09,0.124,,
1000,,,,0.034,0.034,,
1000,,,,0.106,0.145,,
1250,,,,0.04,0.04,,
1250,,,,0.126,0.173,,
1600,,,,0.048,0.048,,
1600,,,,0.15,0.208,,
2000,,,,0.058,0.058,,
2000,,,,0.178,0.243,,
2500,,,,0.068,0.068,,
2500,,,,0.211,0.286,,
3150,,,,0.076,0.076,,
