,r3,r4,r5,r6,r7,r8,r9,r10
,0.012,0.013,0.014,0.016,0.02,0.024,0.035,0.05
3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3,0.0175,0.019,0.02,0.023,0.027,0.033,0.045,0.063
6,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
6,0.0215,0.023,0.025,0.028,0.034,0.041,0.055,0.077
10,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
10,0.026,0.028,0.031,0.034,0.041,0.05,0.066,0.093
18,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
18,0.032,0.034,0.037,0.041,0.049,0.061,0.08,0.112
30,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
30,0.038,0.041,0.045,0.05,0.059,0.073,0.096,0.134
50,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034
50,,0.049,0.054,0.06,0.071,0.087,,
65,,0.041,0.041,0.041,0.041,0.041,,
65,,0.051,0.056,0.062,0.073,0.089,,
80,,0.043,0.043,0.043,0.043,0.043,,
80,,0.061,0.066,0.073,0.086,0.105,,
100,,0.051,0.051,0.051,0.051,0.051,,
100,,0.064,0.069,0.076,0.089,0.108,,
120,,0.054,0.054,0.054,0.054,0.054,,
120,,0.075,0.081,0.088,0.103,0.126,,
140,,0.063,0.063,0.063,0.063,0.063,,
140,,0.077,0.083,0.09,0.105,0.128,,
160,,0.065,0.065,0.065,0.065,0.065,,
160,,0.08,0.086,0.093,0.108,0.131,,
180,,0.068,0.068,0.068,0.068,0.068,,
200,,0.091,0.097,0.106,0.123,0.149,,
200,,0.077,0.077,0.077,0.077,0.077,,
225,,0.094,0.1,0.109,0.126,0.152,,
225,,0.08,0.08,0.08,0.08,0.08,,
250,,0.098,0.104,0.113,0.13,0.156,,
250,,0.084,0.084,0.084,0.084,0.084,,
280,,0.11,0.117,0.126,0.146,0.175,,
280,,0.094,0.094,0.094,0.094,0.094,,
280,,0.114,0.121,0.13,0.15,0.179,,
315,,0.098,0.098,0.098,0.098,0.098,,
315,,0.126,0.133,0.144,0.165,0.197,,
355,,0.108,0.108,0.108,0.108,0.108,,
355,,0.132,0.139,0.15,0.171,0.203,,
400,,0.114,0.114,0.114,0.114,0.114,,
400,,0.146,0.153,0.166,0.189,0.223,,
450,,0.126,0.126,0.126,0.126,0.126,,
450,,0.152,0.159,0.172,0.195,0.229,,
500,,0.132,0.132,0.132,0.132,0.132,,
500,,,,0.194,0.22,0.26,,
560,,,,0.15,0.15,0.15,,
560,,,,0.199,0.225,0.265,,
630,,,,0.155,0.155,0.155,,
630,,,,0.225,0.255,0.3,,
710,,,,0.175,0.175,0.175,,
710,,,,0.235,0.265,0.31,,
800,,,,0.185,0.185,0.185,,
800,,,,0.266,0.3,0.35,,
900,,,,0.21,0.21,0.21,,
900,,,,0.276,0.31,0.36,,
1000,,,,0.22,0.22,0.22,,
1000,,,,0.316,0.355,0.415,,
1120,,,,0.25,0.25,0.25,,
1120,,,,0.326,0.365,0.425,,
1250,,,,0.26,0.26,0.26,,
1250,,,,0.378,0.425,0.495,,
1400,,,,0.3,0.3,0.3,,
1400,,,,0.408,0.455,0.525,,
1600,,,,0.33,0.33,0.33,,
1600,,,,0.462,0.52,0.6,,
1800,,,,0.37,0.37,0.37,,
1800,,,,0.492,0.55,0.63,,
2000,,,,0.4,0.4,0.4,,
2000,,,,0.55,0.615,0.72,,
2240,,,,0.44,0.44,0.44,,
2240,,,,0.57,0.635,0.74,,
2500,,,,0.46,0.46,0.46,,
2500,,,,0.685,0.76,0.88,,
2800,,,,0.55,0.55,0.55,,
2800,,,,0.715,0.79,0.91,,
3150,,,,0.58,0.58,0.58,,
