,t5,t6,t7,t8
24,0.05,0.054,0.062,0.074
30,0.041,0.041,0.041,0.041
30,0.059,0.064,0.073,0.087
40,0.048,0.048,0.048,0.048
40,0.065,0.07,0.079,0.093
50,0.054,0.054,0.054,0.054
50,0.079,0.085,0.096,0.112
65,0.066,0.066,0.066,0.066
65,0.088,0.094,0.105,0.121
80,0.075,0.075,0.075,0.075
80,0.106,0.113,0.126,0.145
100,0.091,0.091,0.091,0.091
100,0.119,0.126,0.139,0.158
120,0.104,0.104,0.104,0.104
120,0.14,0.147,0.162,0.185
140,0.122,0.122,0.122,0.122
140,0.152,0.159,0.174,0.197
160,0.134,0.134,0.134,0.134
160,0.164,0.171,0.186,0.209
180,0.146,0.146,0.146,0.146
180,0.186,0.195,0.212,0.238
200,0.166,0.166,0.166,0.166
200,0.2,0.209,0.226,0.252
225,0.18,0.18,0.18,0.18
225,0.216,0.225,0.242,0.268
250,0.196,0.196,0.196,0.196
250,0.241,0.25,0.27,0.299
280,0.218,0.218,0.218,0.218
280,0.263,0.272,0.292,0.321
315,0.24,0.24,0.24,0.24
315,0.293,0.304,0.325,0.357
355,0.268,0.268,0.268,0.268
355,0.319,0.33,0.351,0.383
400,0.294,0.294,0.294,0.294
400,0.357,0.37,0.393,0.427
450,0.33,0.33,0.33,0.33
450,0.387,0.4,0.423,0.457
500,0.36,0.36,0.36,0.36
500,,0.444,0.47,
560,,0.4,0.4,
560,,0.494,0.52,
630,,0.45,0.45,
630,,0.55,0.58,
710,,0.5,0.5,
710,,0.61,0.64,
800,,0.56,0.56,
800,,0.676,0.71,
900,,0.62,0.62,
900,,0.736,0.77,
1000,,0.68,0.68,
1000,,0.846,0.885,
1120,,0.78,0.78,
1120,,0.906,0.945,
1250,,0.84,0.84,
1250,,0.038,0.085,
1400,,0.96,0.96,
1400,,0.128,0.175,
1600,,0.05,0.05,
1600,,0.292,0.35,
1800,,0.2,0.2,
1800,,0.442,0.5,
2000,,0.35,0.35,
2000,,0.61,0.675,
2240,,0.5,0.5,
2240,,0.76,0.825,
2500,,0.65,0.65,
2500,,0.035,0.11,
2800,,0.9,0.9,
2800,,0.235,0.31,
3150,,0.1,0.1,
