,u5,u6,u7,u8,u9
,0.022,0.024,0.028,0.032,0.043
3,0.018,0.018,0.018,0.018,0.018
3,0.028,0.031,0.035,0.041,0.053
6,0.023,0.023,0.023,0.023,0.023
6,0.034,0.037,0.043,0.05,0.064
10,0.028,0.028,0.028,0.028,0.028
10,0.041,0.044,0.051,0.06,0.076
18,0.033,0.033,0.033,0.033,0.033
18,0.05,0.054,0.062,0.074,0.093
24,0.041,0.041,0.041,0.041,0.041
24,0.057,0.061,0.069,0.081,0.1
30,0.048,0.046,0.048,0.048,0.048
30,0.071,0.076,0.085,0.099,0.122
40,0.06,0.06,0.06,0.06,0.06
40,0.081,0.086,0.095,0.109,0.132
50,0.07,0.07,0.07,0.07,0.07
50,0.1,0.106,0.117,0.133,0.161
65,0.087,0.087,0.087,0.087,0.087
65,0.115,0.121,0.132,0.148,0.176
80,0.102,0.102,0.102,0.102,0.102
80,0.139,0.146,0.159,0.178,0.211
100,0.124,0.124,0.124,0.124,0.124
100,0.159,0.166,0.179,0.198,0.231
120,0.144,0.144,0.144,0.144,0.144
120,0.188,0.195,0.21,0.233,0.27
140,0.17,0.17,0.17,0.17,0.17
140,0.208,0.215,0.23,0.253,0.29
160,0.19,0.19,0.19,0.19,0.19
160,0.228,0.235,0.25,0.273,0.31
180,0.21,0.21,0.21,0.21,0.21
180,0.256,0.265,0.282,0.308,0.351
200,0.236,0.236,0.236,0.236,0.236
200,0.278,0.287,0.304,0.33,0.373
225,0.258,0.258,0.258,0.258,0.258
225,0.304,0.313,0.33,0.356,0.399
250,0.284,0.284,0.284,0.284,0.284
250,0.338,0.347,0.367,0.396,0.445
280,0.315,0.315,0.315,0.315,0.315
280,0.373,0.382,0.402,0.431,0.48
315,0.35,0.35,0.35,0.35,0.35
315,0.415,0.426,0.447,0.479,0.53
355,0.39,0.39,0.39,0.39,0.39
355,0.46,0.471,0.492,0.524,0.575
400,0.435,0.435,0.435,0.435,0.435
400,0.517,0.53,0.553,0.587,0.645
450,0.49,0.49,0.49,0.49,0.49
450,0.567,0.58,0.603,0.637,0.695
500,0.54,0.54,0.54,0.54,0.54
500,,0.644,0.67,0.71,
560,,0.6,0.6,0.6,
560,,0.704,0.73,0.77,
630,,0.66,0.66,0.66,
630,,0.79,0.82,0.865,
710,,0.74,0.74,0.74,
710,,0.89,0.92,0.965,
800,,0.84,0.84,0.84,
800,,0.996,0.03,0.08,
900,,0.94,0.94,0.94,
900,,0.106,0.14,0.19,
1000,,0.05,0.05,0.05,
1000,,0.216,0.255,0.315,
1120,,0.15,0.15,0.15,
1120,,0.366,0.405,0.465,
1250,,0.3,0.3,0.3,
1250,,0.528,0.575,0.645,
1400,,0.45,0.45,0.45,
1400,,0.678,0.725,0.795,
1600,,0.6,0.6,0.6,
1600,,0.942,2,0.08,
1800,,0.85,0.85,0.85,
1800,,0.092,0.15,0.23,
2000,,2,2,2,
2000,,0.41,0.475,0.58,
2240,,0.3,0.3,0.3,
2240,,0.61,0.675,0.78,
2500,,0.5,0.5,0.5,
2500,,0.035,0.11,0.23,
2800,,0.9,0.9,0.9,
2800,,0.335,0.41,0.53,
3150,,0.2,0.2,0.2,
