,v5,v6,v7,v8
14,0.047,0.05,0.057,0.066
18,0.039,0.039,0.039,0.039
18,0.056,0.06,0.068,0.08
24,0.047,0.047,0.047,0.047
24,0.064,0.068,0.076,0.088
30,0.055,0.055,0.055,0.055
30,0.079,0.084,0.093,0.107
40,0.068,0.068,0.068,0.068
40,0.092,0.097,0.106,0.12
50,0.081,0.081,0.081,0.081
50,0.115,0.121,0.132,0.148
65,0.102,0.102,0.102,0.102
65,0.133,0.139,0.15,0.166
80,0.12,0.12,0.12,0.12
80,0.161,0.168,0.181,0.2
100,0.146,0.146,0.146,0.146
100,0.187,0.194,0.207,0.226
120,0.172,0.172,0.172,0.172
120,0.22,0.227,0.242,0.265
140,0.202,0.202,0.202,0.202
140,0.246,0.253,0.268,0.291
160,0.228,0.228,0.228,0.228
160,0.27,0.277,0.292,0.315
180,0.252,0.252,0.252,0.252
180,0.304,0.313,0.33,0.356
200,0.284,0.284,0.284,0.284
200,0.33,0.339,0.356,0.382
225,0.31,0.31,0.31,0.31
225,0.36,0.369,0.386,0.412
250,0.34,0.34,0.34,0.34
250,0.408,0.417,0.437,0.466
280,0.385,0.385,0.385,0.385
280,0.448,0.457,0.477,0.506
315,0.425,0.425,0.425,0.425
315,0.5,0.511,0.532,0.564
355,0.475,0.475,0.475,0.475
355,0.555,0.566,0.587,0.619
400,0.53,0.53,0.53,0.53
400,0.622,0.635,0.658,0.692
450,0.595,0.595,0.595,0.595
450,0.687,0.7,0.723,0.757
500,0.66,0.66,0.66,0.66
