,x5,x6,x7,x8,x9,x10
,0.024,0.026,0.03,0.034,0.045,0.06
3,0.02,0.02,0.02,0.02,0.02,0.02
3,0.033,0.036,0.04,0.046,0.058,0.076
6,0.028,0.028,0.028,0.028,0.028,0.028
6,0.04,0.043,0.049,0.056,0.07,0.092
10,0.034,0.034,0.034,0.034,0.034,0.034
10,0.048,0.051,0.058,0.067,0.083,0.11
14,0.04,0.04,0.04,0.04,0.04,0.04
14,0.053,0.056,0.063,0.072,0.088,0.115
18,0.045,0.045,0.045,0.045,0.045,0.045
18,0.063,0.067,0.075,0.087,0.106,0.138
24,0.054,0.054,0.054,0.054,0.054,0.054
24,0.073,0.077,0.085,0.097,0.116,0.148
30,0.064,0.064,0.064,0.064,0.064,0.064
30,0.091,0.096,0.105,0.119,0.142,0.18
40,0.08,0.08,0.08,0.08,0.08,0.08
40,0.108,0.113,0.122,0.136,0.159,0.197
50,0.097,0.097,0.097,0.097,0.097,0.097
50,0.135,0.141,0.152,0.168,0.196,0.242
65,0.122,0.122,0.122,0.122,0.122,0.122
65,0.159,0.165,0.176,0.192,0.22,0.266
80,0.146,0.146,0.146,0.146,0.146,0.146
80,0.193,0.2,0.213,0.232,0.265,0.318
100,0.178,0.178,0.178,0.178,0.178,0.178
100,0.225,0.232,0.245,0.264,0.297,0.35
120,0.21,0.21,0.21,0.21,0.21,0.21
120,0.266,0.273,0.288,0.311,0.348,0.408
140,0.248,0.248,0.248,0.248,0.248,0.248
140,0.298,0.305,0.32,0.343,0.38,0.44
160,0.28,0.28,0.28,0.28,0.28,0.28
160,0.328,0.335,0.35,0.373,0.41,0.47
180,0.31,0.31,0.31,0.31,0.31,0.31
180,0.37,0.379,0.396,0.422,0.465,0.535
200,0.35,0.35,0.35,0.35,0.35,0.35
200,0.405,0.414,0.431,0.457,0.5,0.57
225,0.385,0.385,0.385,0.385,0.385,0.385
225,0.445,0.454,0.471,0.497,0.54,0.61
250,0.425,0.425,0.425,0.425,0.425,0.425
250,0.498,0.507,0.527,0.556,0.605,0.685
280,0.475,0.475,0.475,0.475,0.475,0.475
280,0.548,0.557,0.577,0.606,0.655,0.735
315,0.525,0.525,0.525,0.525,0.525,0.525
315,0.615,0.626,0.647,0.679,0.73,0.82
355,0.59,0.59,0.59,0.59,0.59,0.59
355,0.685,0.696,0.717,0.749,0.8,0.89
400,0.66,0.66,0.66,0.66,0.66,0.66
400,0.767,0.78,0.803,0.837,0.895,0.99
450,0.74,0.74,0.74,0.74,0.74,0.74
450,0.847,0.86,0.883,0.917,0.975,0.07
500,0.82,0.82,0.82,0.82,0.82,0.82
