,y6,y7,y8,y9,y10
18,0.076,0.084,0.096,0.115,0.147
24,0.063,0.063,0.063,0.063,0.063
24,0.088,0.096,0.108,0.127,0.159
30,0.075,0.075,0.075,0.075,0.075
30,0.11,0.119,0.133,0.156,0.194
40,0.094,0.094,0.094,0.094,0.094
40,0.13,0.139,0.153,0.176,0.214
50,0.114,0.114,0.114,0.114,0.114
50,0.163,0.174,0.19,,
65,0.144,0.144,0.144,,
65,0.193,0.204,0.22,,
80,0.174,0.174,0.174,,
80,0.236,0.249,0.268,,
100,0.214,0.214,0.214,,
100,0.276,0.289,0.308,,
120,0.254,0.254,0.254,,
120,0.325,0.34,0.363,,
140,0.3,0.3,0.3,,
140,0.365,0.38,0.403,,
160,0.34,0.34,0.34,,
160,0.405,0.42,0.443,,
180,0.38,0.38,0.38,,
180,0.454,0.471,0.497,,
200,0.425,0.425,0.425,,
200,0.499,0.516,0.542,,
225,0.47,0.47,0.47,,
225,0.549,0.566,0.592,,
250,0.52,0.52,0.52,,
250,0.612,0.632,0.661,,
280,0.58,0.58,0.58,,
280,0.682,0.702,0.731,,
315,0.65,0.65,0.65,,
315,0.766,0.787,0.819,,
355,0.73,0.73,0.73,,
355,0.856,0.877,0.909,,
400,0.82,0.82,0.82,,
400,0.96,0.983,0.017,,
450,0.92,0.92,0.92,,
450,0.04,0.063,0.097,,
500,1,1,1,,
