,z6,z7,z8,z9,z10,z11
,0.032,0.036,0.04,0.051,0.066,0.086
3,0.026,0.026,0.026,0.026,0.026,0.026
3,0.043,0.047,0.053,0.065,0.083,0.11
6,0.035,0.035,0.035,0.035,0.035,0.035
6,0.051,0.057,0.064,0.078,0.1,0.132
10,0.042,0.042,0.042,0.042,0.042,0.042
10,0.061,0.068,0.077,0.093,0.12,0.16
14,0.05,0.05,0.05,0.05,0.05,0.05
14,0.071,0.078,0.087,0.103,0.13,0.17
18,0.06,0.06,0.06,0.06,0.06,0.06
18,0.086,0.094,0.106,0.125,0.157,0.203
24,0.073,0.073,0.073,0.073,0.073,0.073
24,0.101,0.109,0.121,0.14,0.172,0.218
30,0.088,0.088,0.088,0.088,0.088,0.088
30,0.128,0.137,0.151,0.174,0.212,0.272
40,0.112,0.112,0.112,0.112,0.112,0.112
40,0.152,0.161,0.175,0.198,0.236,0.296
50,0.136,0.136,0.136,0.136,0.136,0.136
50,0.191,0.202,0.218,0.246,0.292,0.362
65,0.172,0.172,0.172,0.172,0.172,0.172
65,0.229,0.24,0.256,0.284,0.33,0.4
80,0.21,0.21,0.21,0.21,0.21,0.21
80,0.28,0.293,0.312,0.345,0.398,0.478
100,0.258,0.258,0.258,0.258,0.258,0.258
100,0.332,0.345,0.364,0.397,0.45,0.53
120,0.31,0.31,0.31,0.31,0.31,0.31
120,0.39,0.405,0.428,0.465,0.525,0.615
140,0.365,0.365,0.365,0.365,0.365,0.365
140,0.44,0.455,0.478,0.515,0.575,0.665
160,0.415,0.415,0.415,0.415,0.415,0.415
160,0.49,0.505,0.528,0.565,0.625,0.715
180,0.465,0.465,0.465,0.465,0.465,0.465
180,0.549,0.566,0.592,0.635,0.705,0.81
200,0.52,0.52,0.52,0.52,0.52,0.52
200,0.604,0.621,0.647,0.69,0.76,0.865
225,0.575,0.575,0.575,0.575,0.575,0.575
225,0.669,0.686,0.712,0.755,0.825,0.93
250,0.64,0.64,0.64,0.64,0.64,0.64
250,0.742,0.762,0.791,0.84,0.92,0.03
280,0.71,0.71,0.71,0.71,0.71,0.71
280,0.822,0.842,0.871,0.92,1,0.11
315,0.79,0.79,0.79,0.79,0.79,0.79
315,0.936,0.957,0.989,0.04,0.13,0.26
355,0.9,0.9,0.9,0.9,0.9,0.9
355,0.036,0.057,0.089,0.14,0.23,0.36
400,1,1,1,1,1,1
400,0.14,0.163,0.197,0.255,0.35,0.5
450,0.1,0.1,0.1,0.1,0.1,0.1
450,0.29,0.313,0.347,0.405,0.5,0.65
500,0.25,0.25,0.25,0.25,0.25,0.25
